blh,valid_time,d2m,latitude,longitude,sp,sshf,ssrd,strd,t2m,tcc,tp,u10,v10
38.007080078125,2016/1/1 0:00,275.07171630859375,31.1922,121.4317,103446.9922,10181.8125,0.25,850972.5,277.21337890625,0,0,-0.462320983,-1.454859257
26.430908203125,2016/1/1 1:00,274.7768249511719,31.1922,121.4317,103404.0469,7859.1875,0,853951.3125,276.39874267578125,0.012909531593322754,0,-0.165395081,-1.004081011
21.64794922,2016/1/1 2:00,274.7654724121094,31.1922,121.4317,103366.8281,6310.6875,0,889950,276.270751953125,0.08081424236297607,1.862645149230957E-9,-1.37E-04,-0.783930182
24.836669921875,2016/1/1 3:00,274.6373596191406,31.1922,121.4317,103334.8984,4073.6875,0.125,849893.625,276.09979248046875,0.4248393774032593,0,0.24603426456451416,-1.099869132
22.505615234375,2016/1/1 4:00,274.5854797363281,31.1922,121.4317,103286.1328,-77.5,0,883167.5,275.4493408203125,0.5777547359466553,0,0.19454336166381836,-1.227943182
22.66601563,2016/1/1 5:00,274.2342224121094,31.1922,121.4317,103274.1016,-9187.9375,0.125,919306.125,274.7147521972656,0.9844658374786377,-1.86E-09,-0.096023202,-1.260155201
22.504150390625,2016/1/1 6:00,273.65985107421875,31.1922,121.4317,103246.7656,-43193.1875,0,1006397.063,274.1033935546875,0.9776296019554138,0,-0.020103097,-1.406562328
20.90917969,2016/1/1 7:00,273.8128662109375,31.1922,121.4317,103306.2813,-53264.125,366.75,1034892.75,274.3994445800781,0.9788198471069336,3.8463622331619263E-7,-0.219662905,-1.232941508
33.457275390625,2016/1/1 8:00,274.6037902832031,31.1922,121.4317,103355.6719,-75078.125,187297.375,984353.1875,275.4404602050781,0.9923092126846313,3.8836151361465454E-7,-0.649861336,-0.860944927
46.0560302734375,2016/1/1 9:00,275.9361877441406,31.1922,121.4317,103322.8125,-187467.125,673851.375,1029631.938,276.56610107421875,1,0,-0.694450378,-0.34431386
153.369873046875,2016/1/1 10:00,277.1423645019531,31.1922,121.4317,103324.2578,-273115.375,1156664.75,1037600.688,281.6695861816406,0.0951276421546936,0,-1.09588623,0.36736321449279785
